repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
MetroRobots/social_nav_ros,35,0,True,2023-04,2025-10,Organization,True,False,False,True,2,14,2,0
Minipada/fluent_bit_vendor,1,1,False,2023-05,2023-06,User,True,False,False,True,1,5,1,0
MoffKalast/vizanti,35,0,True,2023-04,2026-03,User,True,False,False,True,5,263,237,51
Neargye/magic_enum,84,0,True,2019-03,2026-03,User,True,False,False,True,74,611,5960,537
OUXT-Polaris/boost_geometry_util,31,1,False,2022-06,2025-01,Organization,True,True,False,True,3,53,0,0
OUXT-Polaris/nmea_hardware_interface,40,1,False,2021-09,2025-01,Organization,True,True,False,True,5,58,0,1
OUXT-Polaris/ouxt_common,40,1,False,2021-09,2025-01,Organization,False,True,False,True,3,138,0,0
OUXT-Polaris/quaternion_operation,83,0,True,2019-04,2025-09,Organization,True,True,False,True,5,153,6,3
OUXT-Polaris/sol_vendor,48,1,False,2021-06,2025-06,Organization,True,True,False,True,5,67,1,0
OctoMap/octomap,198,0,True,2009-09,2026-02,Organization,True,False,False,False,61,802,2268,698
OctoMap/octomap_mapping,167,0,True,2012-04,2026-01,Organization,True,False,False,False,17,229,421,303
OctoMap/octomap_msgs,167,0,True,2012-04,2026-01,Organization,True,False,False,False,7,60,39,54
OctoMap/octomap_ros,169,0,True,2012-02,2025-10,Organization,True,False,False,False,5,54,103,51
OctoMap/octomap_rviz_plugins,164,0,True,2012-07,2026-02,Organization,True,True,False,False,17,114,108,72
OrebroUniversity/mod,39,1,False,2022-03,2025-06,Organization,False,False,False,True,1,53,0,0
PX4/px4_msgs,86,0,True,2019-01,2026-02,Organization,True,True,False,True,13,582,129,208
PickNikRobotics/RSL,43,0,True,2022-08,2026-02,Organization,True,False,False,True,9,184,84,23
PickNikRobotics/affordance_primitives,22,1,False,2021-10,2023-08,Organization,True,True,False,True,2,9,0,1
PickNikRobotics/cpp_polyfills,42,0,True,2022-09,2026-03,Organization,True,False,False,True,6,22,7,5
PickNikRobotics/data_tamer,28,0,True,2023-11,2026-02,Organization,True,False,False,True,10,256,284,29
PickNikRobotics/generate_parameter_library,45,0,True,2022-06,2026-03,Organization,True,True,False,True,41,276,355,70
PickNikRobotics/graph_msgs,143,0,True,2014-04,2026-01,Organization,True,False,False,False,2,18,8,7
PickNikRobotics/launch_param_builder,50,0,True,2022-01,2026-02,Organization,True,True,False,True,4,13,12,10
PickNikRobotics/pick_ik,29,1,False,2022-08,2025-01,Organization,True,False,False,True,10,134,90,25
PickNikRobotics/picknik_controllers,52,0,True,2021-11,2026-01,Organization,True,False,False,True,10,58,1,5
PickNikRobotics/ros2_robotiq_gripper,45,0,True,2022-06,2026-02,Organization,True,False,False,True,18,136,148,108
PickNikRobotics/rviz_visual_tools,137,0,True,2014-10,2026-01,Organization,True,False,False,False,24,407,811,249
PickNikRobotics/snowbot_operating_system,63,0,True,2020-12,2026-01,Organization,True,False,False,True,1,13,19,3
PlanSys2/ros2_planning_system,76,0,True,2019-11,2026-02,Organization,True,True,True,True,28,1219,469,109
PlotJuggler/plotjuggler-ros-plugins,65,0,True,2020-10,2026-03,Organization,True,False,False,True,13,153,130,59
PlotJuggler/plotjuggler_msgs,70,0,True,2020-05,2025-12,User,True,False,False,True,3,32,9,9
ROBOTIS-GIT/DynamixelSDK,120,0,True,2016-03,2026-02,Organization,True,False,False,False,23,657,564,483
ROBOTIS-GIT/ai_worker,11,0,True,2025-04,2026-03,Organization,True,True,False,False,9,536,107,27
ROBOTIS-GIT/coin_d4_driver,10,0,True,2025-05,2026-02,Organization,True,True,False,False,3,44,2,1
ROBOTIS-GIT/dynamixel-workbench,116,0,True,2016-07,2026-02,Organization,True,False,False,False,14,634,122,196
ROBOTIS-GIT/dynamixel-workbench-msgs,105,0,True,2017-06,2026-01,Organization,True,True,False,False,4,73,18,39
ROBOTIS-GIT/dynamixel_hardware_interface,19,0,True,2024-08,2026-03,Organization,True,True,False,False,6,270,26,17
ROBOTIS-GIT/dynamixel_interfaces,15,0,True,2024-12,2026-03,Organization,True,True,False,False,4,14,2,6
ROBOTIS-GIT/hls_lfcd_lds_driver,111,0,True,2016-12,2026-01,Organization,True,False,False,False,9,115,100,78
ROBOTIS-GIT/ld08_driver,41,1,False,2022-02,2025-07,Organization,True,True,False,False,4,44,11,29
ROBOTIS-GIT/open_manipulator,110,0,True,2017-01,2026-03,Organization,True,True,False,False,14,1019,595,205
ROBOTIS-GIT/turtlebot3,117,0,True,2016-06,2026-02,Organization,True,True,False,False,26,1024,1895,1129
ROBOTIS-GIT/turtlebot3_applications,99,1,False,2017-03,2025-06,Organization,True,True,False,False,11,441,104,51
ROBOTIS-GIT/turtlebot3_applications_msgs,85,1,False,2018-05,2025-06,Organization,True,True,False,False,3,18,8,5
ROBOTIS-GIT/turtlebot3_autorace,87,1,False,2018-03,2025-06,Organization,True,True,False,False,5,113,105,57
ROBOTIS-GIT/turtlebot3_home_service_challenge,64,1,False,2020-03,2025-07,Organization,True,False,False,False,8,100,12,10
ROBOTIS-GIT/turtlebot3_machine_learning,92,0,True,2018-07,2026-02,Organization,True,True,False,False,8,228,144,91
ROBOTIS-GIT/turtlebot3_manipulation,94,0,True,2018-05,2025-11,Organization,True,True,False,False,6,304,84,47
ROBOTIS-GIT/turtlebot3_msgs,98,1,False,2017-04,2025-06,Organization,True,True,False,False,8,90,77,144
ROBOTIS-GIT/turtlebot3_simulations,107,0,True,2017-04,2026-02,Organization,True,True,False,False,16,383,465,527
RaphRover/raph_common,80,0,True,2019-07,2026-02,Organization,True,False,False,True,5,81,0,0
RaphRover/raph_desktop,65,0,True,2020-10,2025-12,Organization,True,False,False,True,2,21,0,0
RaphRover/raph_robot,48,0,True,2022-03,2026-03,Organization,True,False,False,True,3,103,1,0
RoboSense-LiDAR/rslidar_msg,56,1,False,2020-06,2025-02,Organization,True,False,False,True,3,10,24,48
RoboSense-LiDAR/rslidar_sdk,69,0,True,2020-06,2026-03,Organization,True,False,False,True,12,560,651,310
RobotWebTools/rosbridge_suite,164,0,True,2012-07,2026-03,Organization,True,False,False,False,116,962,1168,579
RobotWebTools/tf2_web_republisher,159,0,True,2012-12,2025-09,Organization,True,False,False,False,12,68,26,40
RobotWebTools/web_video_server,137,0,True,2014-10,2026-02,Organization,True,True,False,False,24,116,366,212
RobotecAI/rai_interfaces,11,1,False,2024-07,2025-06,Organization,True,False,False,True,5,36,2,2
SBG-Systems/sbg_ros2_driver,73,0,True,2020-02,2026-03,Organization,True,False,False,True,10,165,47,37
SCHUNK-SE-Co-KG/schunk_svh_library,137,1,False,2014-01,2025-06,Organization,True,False,False,True,8,417,1,0
SICKAG/sick_safetyscanners2,64,0,True,2020-11,2026-02,Organization,True,False,False,True,7,117,33,44
SICKAG/sick_safetyscanners2_interfaces,63,0,True,2020-12,2026-02,Organization,True,False,False,True,3,16,3,11
SICKAG/sick_safetyscanners_base,91,0,True,2018-08,2026-01,Organization,True,False,False,True,8,367,18,35
SICKAG/sick_safevisionary_base,33,0,True,2023-06,2025-11,Organization,True,False,False,True,4,20,5,2
SICKAG/sick_safevisionary_ros2,33,0,True,2023-06,2026-02,Organization,True,False,False,True,5,98,8,4
SICKAG/sick_scan_xd,53,0,True,2021-10,2026-03,Organization,True,True,False,True,13,272,165,119
Simple-Robotics/nanoeigenpy,15,0,True,2024-12,2026-02,Organization,True,False,False,False,7,332,19,7
Simple-Robotics/proxsuite,55,0,True,2021-08,2026-03,Organization,True,False,False,True,23,2132,543,72
Slamtec/rplidar_ros,142,0,True,2014-05,2026-01,Organization,True,False,False,True,16,82,649,621
StefanFabian/qml6_ros2_plugin,56,0,True,2021-07,2026-02,User,True,False,False,True,2,127,7,0
StefanFabian/qml_ros2_plugin,56,0,True,2021-07,2026-02,User,True,False,False,True,2,84,60,12
SteveMacenski/nonpersistent_voxel_layer,99,0,True,2017-12,2025-11,User,True,False,False,True,9,51,49,17
SteveMacenski/slam_toolbox,188,0,True,2010-07,2026-02,User,True,False,False,True,74,565,2357,653
SteveMacenski/spatio_temporal_voxel_layer,98,0,True,2018-01,2026-02,User,True,False,False,True,37,249,800,221
THA-Embedded-Systems-Lab/soar_ros,18,0,True,2024-09,2026-02,Organization,True,True,False,True,3,40,18,6
Tacha-S/sync_parameter_server,2,1,False,2023-11,2024-01,User,True,False,False,True,1,11,6,0
TechMagicKK/aandd_ekew_driver_py,36,0,True,2023-03,2026-02,Organization,True,False,False,True,3,26,0,0
TechMagicKK/weight_scale_interfaces,14,1,False,2022-07,2023-09,Organization,True,False,False,True,4,32,0,0
TonyWelte/rosidlcpp,15,0,True,2024-12,2026-01,User,True,True,False,True,1,110,29,1
ToyotaResearchInstitute/gauges2,35,1,False,2022-08,2025-07,Organization,True,False,False,True,4,30,36,2
UniversalRobots/Universal_Robots_Client_Library,126,0,True,2015-09,2026-03,Organization,True,False,False,True,61,1349,194,129
UniversalRobots/Universal_Robots_ROS2_Description,65,0,True,2020-10,2026-03,Organization,True,True,False,True,22,255,289,188
UniversalRobots/Universal_Robots_ROS2_Driver,65,0,True,2020-10,2026-03,Organization,True,True,False,True,43,710,726,317
UniversalRobots/Universal_Robots_ROS2_GZ_Simulation,51,0,True,2021-12,2026-01,Organization,True,True,False,True,10,68,80,38
UniversalRobots/urinterfaces,38,0,True,2023-01,2025-11,Organization,True,True,False,True,2,3,0,2
adityapande-1995/linux_isolate_process,1,1,False,2023-12,2024-01,User,True,False,False,True,1,31,13,0
aerostack2/aerostack2,48,0,True,2022-03,2026-03,Organization,True,True,True,True,21,2089,297,73
aerostack2/as2_platform_crazyflie,28,1,False,2022-09,2025-01,Organization,True,True,False,True,3,30,0,2
aerostack2/as2_platform_dji_osdk,14,1,False,2023-06,2024-08,Organization,True,True,False,True,3,15,0,1
aerostack2/as2_platform_dji_psdk,28,0,True,2023-11,2025-09,Organization,True,True,False,True,5,76,3,2
aerostack2/as2_platform_mavlink,21,0,True,2024-06,2025-12,Organization,True,True,True,True,4,21,1,5
aerostack2/as2_platform_pixhawk,54,0,True,2021-09,2026-02,Organization,True,True,True,True,7,140,8,9
aerostack2/as2_platform_tello,40,0,True,2022-11,2025-12,Organization,True,True,False,True,6,32,3,4
ajtudela/laser_segmentation,40,0,True,2022-11,2025-09,User,True,False,False,True,2,62,39,5
ajtudela/sicks300_ros2,34,1,False,2022-05,2025-03,User,True,False,False,True,1,76,6,2
ajtudela/slg_msgs,43,1,False,2021-07,2025-02,User,True,False,False,True,1,63,3,3
alliedvision/vimbax_ros2_driver,26,0,True,2024-01,2026-02,Organization,True,False,False,True,2,368,4,24
alvinsunyixiao/vrpn_mocap,34,1,False,2022-07,2025-05,User,True,True,False,True,4,43,34,13
ament/ament_cmake,142,0,True,2014-05,2026-03,Organization,False,True,False,True,63,564,121,143
ament/ament_index,129,0,True,2015-06,2026-02,Organization,True,True,False,True,28,165,14,31
ament/ament_lint,142,0,True,2014-05,2026-03,Organization,False,True,False,True,64,546,49,127
ament/ament_package,142,0,True,2014-05,2025-12,Organization,False,True,False,True,25,251,10,21
ament/google_benchmark_vendor,57,1,False,2020-07,2025-04,Organization,False,True,False,True,13,46,1,7
ament/uncrustify_vendor,92,0,True,2018-07,2026-01,Organization,True,False,False,True,12,48,0,10
analogdevicesinc/adi_3dtof_adtf31xx,32,0,True,2023-07,2025-11,Organization,True,False,False,True,4,24,4,4
analogdevicesinc/adi_3dtof_image_stitching,25,1,False,2023-07,2025-08,Organization,True,False,False,True,3,25,16,6
analogdevicesinc/adi_tmc_coe_ros2,12,0,True,2025-03,2025-12,Organization,True,False,False,True,5,11,3,2
analogdevicesinc/depth-obstacle-detect-ros,1,1,False,2025-03,2025-04,Organization,True,False,False,True,3,8,21,2
analogdevicesinc/iio_ros2,6,1,False,2025-01,2025-07,Organization,True,True,False,True,2,115,2,2
analogdevicesinc/imu_ros2,38,0,True,2023-01,2026-02,Organization,True,True,False,True,6,175,31,8
analogdevicesinc/libaditof,62,0,True,2021-01,2026-03,Organization,True,False,False,True,31,2406,4,8
analogdevicesinc/tmcl_ros2,30,0,True,2023-09,2025-12,Organization,True,False,False,True,5,32,17,4
apl-ocean-engineering/marine_msgs,63,0,True,2020-12,2025-11,Organization,True,False,False,True,7,61,46,27
astuff/astuff_sensor_msgs,83,1,False,2017-09,2024-08,Organization,True,False,False,True,15,193,49,43
astuff/automotive_autonomy_msgs,59,1,False,2016-10,2021-09,Organization,True,False,False,True,7,143,19,10
astuff/network_interface,81,1,False,2017-01,2023-10,Organization,True,False,False,True,10,124,11,12
aussierobots/ublox_dgnss,58,0,True,2021-05,2026-02,Organization,True,False,False,True,11,270,71,44
automatika-robotics/embodied-agents,32,0,True,2023-07,2026-02,Organization,True,False,False,True,2,443,47,4
automatika-robotics/kompass,30,0,True,2023-09,2026-02,Organization,True,False,False,True,2,332,36,0
automatika-robotics/sugarcoat,22,0,True,2024-05,2026-02,Organization,True,False,False,True,2,562,35,2
autowarefoundation/agnocast,20,0,True,2024-07,2026-03,Organization,True,True,False,True,13,912,168,10
autowarefoundation/autoware_adapi_msgs,42,0,True,2022-09,2025-12,Organization,True,True,True,True,19,91,6,33
autowarefoundation/autoware_cmake,51,0,True,2021-12,2026-03,Organization,False,True,True,True,13,49,2,21
autowarefoundation/autoware_core,52,0,True,2021-11,2026-03,Organization,True,True,True,False,62,627,160,119
autowarefoundation/autoware_internal_msgs,25,0,True,2024-02,2026-03,Organization,True,True,True,True,16,70,2,29
autowarefoundation/autoware_lanelet2_extension,43,0,True,2022-08,2026-02,Organization,False,True,True,True,44,153,5,35
autowarefoundation/autoware_msgs,48,0,True,2022-03,2026-03,Organization,True,True,True,True,26,115,40,66
autowarefoundation/autoware_rviz_plugins,11,0,True,2025-04,2026-02,Organization,True,True,True,True,9,23,4,14
autowarefoundation/autoware_utils,43,0,True,2022-08,2026-02,Organization,False,True,True,True,26,78,7,41
autowarefoundation/callback_isolated_executor,30,0,True,2023-09,2026-02,Organization,True,False,False,True,5,169,56,4
autowarefoundation/qpoases_vendor,69,1,False,2019-07,2025-04,Organization,True,False,False,True,1,25,6,7
autowarefoundation/ros2_socketcan,61,0,True,2021-02,2026-02,Organization,False,False,False,True,13,58,176,95
autowarefoundation/tvm_vendor,35,1,False,2020-11,2023-10,Organization,True,False,False,True,6,75,10,8
autowarefoundation/zmqpp_vendor,46,0,True,2022-05,2025-12,Organization,True,True,False,True,5,34,2,4
aws-robotics/aws-robomaker-small-warehouse-world,70,0,True,2020-05,2026-02,Organization,True,True,True,True,8,10,456,123
b-robotized/ads_vendor,10,0,True,2025-05,2025-09,Organization,True,False,False,True,1,18,1,1
bdaiinstitute/proto2ros,17,0,True,2024-10,2025-11,Organization,True,True,False,True,3,17,80,10
bdaiinstitute/synchros2,35,0,True,2023-04,2026-03,Organization,True,True,False,True,16,177,57,9
blackcoffeerobotics/bcr_arm,8,0,True,2025-07,2026-03,Organization,True,False,False,True,2,23,64,15
blackcoffeerobotics/bcr_bot,43,0,True,2022-08,2026-01,Organization,True,False,False,True,6,58,341,68
blackcoffeerobotics/vector_pursuit_controller,20,0,True,2024-07,2026-01,Organization,True,False,False,True,2,24,94,16
bnbhat/bno08x_ros2_driver,17,0,True,2024-10,2026-02,User,True,False,False,True,2,35,8,9
borglab/gtsam,199,0,True,2009-08,2026-03,Organization,True,False,False,False,209,20421,3301,906
bosch-engineering/off_highway_sensor_drivers,39,0,True,2022-12,2026-03,Organization,True,True,False,True,13,125,70,24
boschglobal/rokit_ros_bridge,59,0,True,2021-04,2026-02,Organization,True,True,False,True,5,161,8,12
boschresearch/fmi_adapter,79,1,False,2018-12,2025-07,Organization,True,True,False,True,3,125,49,14
boschresearch/fmilibrary_vendor,70,1,False,2019-04,2025-02,Organization,True,False,False,True,2,54,3,1
brow1633/network_bridge,22,0,True,2024-05,2026-02,User,True,False,False,True,2,83,42,6
brukg/so_arm_100_hardware,4,1,False,2025-01,2025-05,User,True,False,False,True,1,12,18,5
carologistics/clips_executive,57,0,True,2021-06,2026-01,Organization,True,True,False,True,4,544,7,2
carologistics/clips_vendor,3,1,False,2024-08,2024-11,Organization,True,False,False,True,2,39,1,0
chapulina/dolly,74,1,False,2019-03,2025-05,User,True,False,False,True,4,39,241,63
chrisib/open_sound_control_ros,1,1,False,2025-03,2025-03,User,True,False,False,True,1,23,0,0
christianrauch/apriltag_msgs,62,1,False,2017-10,2022-12,User,False,False,False,True,1,12,14,35
christianrauch/apriltag_ros,101,0,True,2017-10,2026-02,User,True,False,False,True,6,146,309,148
christianrauch/camera_ros,52,0,True,2021-11,2026-03,User,True,False,False,True,9,277,153,66
clearpathrobotics/LMS1xx,141,1,False,2013-10,2025-07,Organization,True,False,False,False,16,111,58,99
clearpathrobotics/canopen_inventus,2,1,False,2025-04,2025-06,Organization,True,False,False,True,3,41,4,0
clearpathrobotics/clearpath_common,175,0,True,2011-08,2026-03,Organization,False,False,False,False,13,725,50,37
clearpathrobotics/clearpath_config,38,0,True,2023-01,2026-02,Organization,True,False,False,True,7,678,19,13
clearpathrobotics/clearpath_desktop,38,0,True,2023-01,2026-02,Organization,True,False,False,True,5,76,2,6
clearpathrobotics/clearpath_msgs,38,0,True,2023-01,2026-02,Organization,True,False,False,True,4,98,2,11
clearpathrobotics/clearpath_nav2_demos,35,0,True,2023-04,2026-02,Organization,True,False,False,True,5,64,19,9
clearpathrobotics/clearpath_simulator,38,0,True,2023-01,2026-02,Organization,True,False,False,True,7,163,32,23
clearpathrobotics/ewellix_lift_common,15,0,True,2024-12,2026-03,Organization,True,False,False,True,2,46,1,0
clearpathrobotics/ptz_action_server,19,1,False,2023-03,2024-10,Organization,True,False,False,True,2,47,0,1
clearpathrobotics/puma_motor_driver,116,1,False,2015-02,2024-10,Organization,True,False,False,False,5,112,5,12
clearpathrobotics/robot_upstart,151,0,True,2013-08,2026-01,Organization,True,False,False,False,20,170,204,97
clearpathrobotics/wireless,148,1,False,2013-03,2025-07,Organization,False,False,False,False,10,98,26,15
coal-library/coal,175,0,True,2011-08,2026-02,Organization,True,False,False,False,42,3680,547,137
cra-ros-pkg/robot_localization,144,0,True,2014-03,2026-03,Organization,True,False,False,False,60,1064,1814,998
ctu-vras/compass,43,0,True,2022-08,2026-01,Organization,True,False,False,True,1,45,7,1
ctu-vras/cras_msgs,54,0,True,2021-09,2026-01,Organization,True,False,False,True,1,25,0,0
ctu-vras/ros-utils,85,0,True,2019-02,2026-02,Organization,True,False,False,True,5,657,19,5
cubicleguy/ess_imu_driver2,20,1,False,2023-11,2025-07,User,True,False,False,True,1,21,0,1
cyberbotics/webots_ros2,80,0,True,2019-07,2025-12,Organization,True,True,True,True,42,1629,517,182
damanikjosh/heightmap_spawner,14,0,True,2025-01,2025-09,User,True,False,False,True,1,9,19,4
dfki-ric/better_launch,17,0,True,2024-10,2026-03,Organization,True,True,False,True,11,630,266,23
dtrugman/pfs,61,0,True,2021-02,2026-03,User,True,False,False,True,22,167,121,42
dynamixel-community/dynamixel_hardware,62,0,True,2021-01,2026-01,Organization,True,False,False,True,7,177,153,80
eProsima/Fast-CDR,157,0,True,2013-02,2026-02,Organization,True,True,False,False,46,555,177,122
eProsima/Fast-DDS,145,0,True,2014-02,2026-03,Organization,True,True,False,False,146,6361,2732,895
eProsima/foonathan_memory_vendor,83,0,True,2019-04,2026-02,Organization,True,True,False,True,24,75,33,52
eclipse-cyclonedds/cyclonedds,98,0,True,2018-01,2026-03,Organization,True,True,False,True,92,3541,1182,435
eclipse-ecal/ecal,84,0,True,2019-03,2026-03,Organization,True,True,True,False,48,1539,977,207
eclipse-iceoryx/iceoryx,77,0,True,2019-10,2026-02,Organization,True,True,False,True,88,10009,2020,455
eclipse-zenoh/zenoh-plugin-dds,66,0,True,2020-09,2026-03,Organization,True,True,False,True,31,1009,198,60
enactic/openarm_ros2,13,0,True,2025-02,2026-02,Organization,True,True,True,True,15,118,79,56
ethz-asl/grid_map_geo,47,0,True,2022-04,2026-01,Organization,True,False,False,True,5,74,160,21
facontidavide/PlotJuggler,120,0,True,2016-03,2026-03,User,True,False,False,False,129,2654,5722,761
facontidavide/cloudini,10,0,True,2025-05,2026-03,User,True,False,False,True,13,220,495,28
facontidavide/rosx_introspection,43,0,True,2022-08,2026-03,User,True,False,False,True,9,71,92,22
fawkesrobotics/protobuf_comm,48,1,False,2021-06,2025-06,Organization,True,False,False,True,3,31,1,1
felixdivo/ros2-easy-test,22,1,False,2023-03,2025-01,User,True,False,False,True,6,193,27,5
fictionlab/ros_aruco_opencv,44,0,True,2022-07,2025-12,Organization,True,False,False,True,3,88,29,27
fkie/async_web_server_cpp,136,0,True,2014-11,2026-01,Organization,True,False,False,True,10,112,11,19
fkie/live555_vendor,11,0,True,2025-04,2025-12,Organization,True,False,False,True,1,38,1,0
fkie/message_filters,87,0,True,2018-12,2026-02,Organization,True,False,False,True,2,114,28,4
fkie/potree_rviz_plugin,88,0,True,2018-11,2026-02,Organization,True,False,False,True,1,28,27,6
fkie/rtsp_image_transport,44,1,False,2021-11,2025-07,Organization,True,False,False,True,1,29,14,3
flynneva/bno055,79,0,True,2019-08,2026-02,User,True,True,False,True,11,152,126,64
flynneva/grbl_msgs,6,1,False,2020-09,2021-03,User,True,True,False,True,1,21,0,1
flynneva/grbl_ros,68,0,True,2020-07,2025-09,User,True,True,False,True,1,282,20,13
flynneva/udp_msgs,45,1,False,2020-10,2024-07,User,True,True,False,True,2,28,2,3
fmrico/cascade_lifecycle,72,0,True,2020-03,2026-01,User,True,False,False,True,3,130,81,13
fmrico/popf,119,0,True,2016-04,2026-02,User,True,False,False,False,2,74,23,8
fmrico/yaets,18,0,True,2024-09,2026-02,User,True,True,False,True,2,72,87,2
foxglove/foxglove-sdk,52,0,True,2021-11,2026-03,Organization,True,True,False,False,42,789,194,73
frankarobotics/franka_description,27,0,True,2023-12,2026-02,Organization,True,True,False,True,11,155,104,65
frankarobotics/franka_ros2,54,0,True,2021-09,2026-03,Organization,True,True,False,True,22,531,302,208
frankarobotics/libfranka,110,0,True,2017-01,2026-03,Organization,True,False,False,True,24,1749,380,226
fujitatomoya/rcl_logging_syslog,19,0,True,2024-08,2026-03,User,True,True,False,True,1,58,102,1
fujitatomoya/ros2_persist_parameter_server,76,0,True,2019-11,2026-02,User,True,True,False,True,8,75,115,22
fujitatomoya/ros2ai,28,0,True,2023-11,2026-03,User,True,False,False,True,4,89,313,23
fzi-forschungszentrum-informatik/Lanelet2,89,0,True,2018-10,2026-02,Organization,True,False,False,True,28,600,923,351
gazebo-release/gz_cmake2_vendor,31,1,False,2021-08,2024-03,Organization,False,True,False,True,6,18,2,5
gazebo-release/gz_cmake_vendor,24,0,True,2024-03,2026-02,Organization,False,True,False,True,5,59,0,2
gazebo-release/gz_common_vendor,24,0,True,2024-03,2026-02,Organization,False,True,False,True,5,53,1,2
gazebo-release/gz_dartsim_vendor,11,1,False,2024-03,2025-02,Organization,True,True,False,True,3,20,0,3
gazebo-release/gz_fuel_tools_vendor,24,0,True,2024-03,2025-10,Organization,False,True,False,True,5,34,0,1
gazebo-release/gz_gui_vendor,24,0,True,2024-03,2025-11,Organization,False,True,False,True,5,29,0,3
gazebo-release/gz_launch_vendor,24,0,True,2024-03,2025-10,Organization,False,True,False,True,5,28,0,2
gazebo-release/gz_math6_vendor,38,1,False,2021-08,2024-10,Organization,False,True,False,True,5,17,1,6
gazebo-release/gz_math_vendor,24,0,True,2024-03,2026-01,Organization,False,True,False,True,7,49,1,2
gazebo-release/gz_msgs_vendor,24,0,True,2024-03,2026-02,Organization,False,True,False,True,4,46,0,3
gazebo-release/gz_ogre_next_vendor,28,0,True,2023-11,2026-02,Organization,True,True,False,True,4,31,0,4
gazebo-release/gz_physics_vendor,24,0,True,2024-03,2026-01,Organization,False,True,False,True,5,43,0,1
gazebo-release/gz_plugin_vendor,24,0,True,2024-03,2025-10,Organization,False,True,False,True,5,33,0,1
gazebo-release/gz_rendering_vendor,24,0,True,2024-03,2026-01,Organization,False,True,False,True,4,46,0,2
gazebo-release/gz_sensors_vendor,24,0,True,2024-03,2026-01,Organization,False,True,False,True,5,39,0,1
gazebo-release/gz_sim_vendor,24,0,True,2024-03,2026-02,Organization,False,True,False,True,5,44,0,2
gazebo-release/gz_tools_vendor,24,0,True,2024-03,2025-09,Organization,False,True,False,True,3,25,0,0
gazebo-release/gz_transport_vendor,24,0,True,2024-03,2026-01,Organization,False,True,False,True,5,48,0,2
gazebo-release/gz_utils_vendor,24,0,True,2024-03,2025-09,Organization,False,True,False,True,6,32,0,2
gazebo-release/sdformat_vendor,24,0,True,2024-03,2026-02,Organization,False,True,False,True,7,56,0,1
gazebosim/gz-rviz,52,1,False,2020-02,2024-06,Organization,True,False,False,True,5,81,58,11
gazebosim/ros_gz,91,0,True,2018-08,2026-02,Organization,True,True,False,True,74,587,481,203
gstavrinos/doom_ros,2,1,False,2025-01,2025-03,User,True,False,False,True,3,18,39,3
gstavrinos/odom_to_tf_ros2,56,0,True,2021-07,2026-02,User,True,False,False,True,4,37,10,10
hatchbed/asyncapi_gencpp,5,1,False,2022-02,2022-07,Organization,True,False,False,True,2,12,5,0
hatchbed/hatchbed_common,43,0,True,2022-08,2026-02,Organization,True,False,False,True,2,18,4,3
hatchbed/log_view,56,1,False,2020-11,2025-07,Organization,True,False,False,True,2,20,63,8
hatchbed/opensw,3,1,False,2022-07,2022-10,Organization,True,False,False,True,1,11,5,2
hatchbed/opensw_ros,3,1,False,2022-07,2022-10,Organization,True,False,False,True,1,7,3,2
hbanzhaf/steering_functions,101,0,True,2017-10,2025-12,User,True,True,False,False,5,125,253,107
husarion/husarion_components_description,10,0,True,2025-05,2026-01,Organization,True,False,False,True,6,23,0,3
husarion/husarion_ugv_ros,42,0,True,2022-09,2026-03,Organization,True,False,False,True,14,1377,73,27
husarion/rosbot_ros,95,0,True,2018-04,2026-03,Organization,True,True,False,True,12,555,178,72
iRobotEducation/create3_examples,54,0,True,2021-09,2025-09,Organization,True,False,False,True,6,104,59,18
iRobotEducation/create3_sim,57,0,True,2021-06,2025-10,Organization,True,False,False,True,19,138,126,74
iRobotEducation/irobot_create_msgs,32,1,False,2021-10,2024-06,Organization,True,False,False,True,4,41,36,12
ijnek/nao_button_sim,41,1,False,2022-02,2025-07,User,True,True,False,True,2,43,1,1
ijnek/nao_interfaces,50,1,False,2021-04,2025-06,User,True,True,False,True,2,78,3,1
ijnek/soccer_object_msgs,49,1,False,2021-05,2025-06,User,True,True,False,True,2,64,1,0
ijnek/soccer_visualization,47,1,False,2021-07,2025-06,User,True,True,False,True,2,29,1,0
ika-rwth-aachen/etsi_its_messages,42,0,True,2022-09,2026-03,Organization,True,False,False,True,13,1464,75,23
ika-rwth-aachen/message_tf_frame_transformer,29,1,False,2023-03,2025-08,Organization,True,False,False,True,3,70,19,6
ika-rwth-aachen/mqtt_client,45,0,True,2022-06,2026-02,Organization,True,False,False,True,11,259,274,73
introlab/find-object,164,1,False,2011-10,2025-06,Organization,True,False,False,False,7,381,474,190
introlab/rtabmap,181,0,True,2011-02,2026-03,Organization,True,False,False,False,54,3614,3642,901
introlab/rtabmap_ros,177,0,True,2011-06,2026-03,Organization,True,False,False,False,33,1860,1377,639
ipa320/ros_battery_monitoring,20,0,True,2024-07,2026-02,Organization,True,False,False,True,5,26,9,11
ipa320/rqt_frame_editor_plugin,136,0,True,2014-11,2026-03,Organization,True,False,False,True,9,172,63,20
joshnewans/joy_tester,32,1,False,2022-11,2025-07,User,True,True,False,True,1,10,17,16
joshnewans/twist_stamper,54,1,False,2021-01,2025-07,User,True,True,False,True,4,20,15,13
