repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
FlexBE/flexbe_app,Running(5m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(4m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(5m)-Zombie(6m)-Running(4m)-Zombie(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Dead(3m)-Running(1m)-Zombie(2m)-Dead(2m)-Zombie(2m)-Dead(3m)-Zombie(3m)-Dead(1m)-Zombie(1m)-Dead(3m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(3m)-Dead(1m)-Zombie(4m)-Running(1m)-Zombie(2m)-Dead(5m)-Zombie(1m)-Dead(6m)-Zombie(1m)-Dead(8m),Dead,False,2017-01,2025-07,111
FlexBE/flexbe_behavior_engine,Running(14m)-Dead(1m)-Running(8m)-Dead(3m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(5m)-Dead(2m)-Running(10m)-Dead(2m)-Running(8m)-Dead(1m)-Running(2m)-Dead(2m)-Running(4m)-Dead(4m)-Running(1m)-Dead(1m)-Running(4m)-Dead(2m)-Running(2m)-Dead(4m)-Running(3m)-Dead(4m)-Zombie(2m)-Running(4m)-Dead(2m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(5m)-Zombie(1m)-Dead(8m)-Running(2m)-Dead(1m)-Running(2m)-Dead(4m),Dead,True,2015-07,2025-11,129
ForteFibre/FluentRviz,Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(5m)-Dead(3m)-Running(1m)-Dead(2m)-Running(2m)-Dead(11m)-Zombie(1m)-Dead(33m),Dead,False,2021-01,2023-06,63
ForteFibre/parameter_expression,Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Running(1m)-Dead(6m),Dead,True,2025-03,2025-09,13
FraunhoferIOSB/camera_aravis2,Running(1m)-Dead(17m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(2m)-Dead(1m)-Running(4m)-Zombie(1m)-Dead(2m)-Zombie(2m)-Dead(3m)-Zombie(1m)-Dead(6m),Dead,True,2022-06,2025-09,46
FraunhoferIOSB/multisensor_calibration,Running(3m)-Dead(1m)-Zombie(2m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(3m)-Dead(1m),Dead,True,2025-02,2026-02,14
Geson-anko/numpy_ndarray_msgs,Running(2m)-Dead(12m),Dead,False,2025-02,2025-03,14
HebiRobotics/hebi_cpp_api_ros,Running(2m)-Dead(6m)-Running(1m)-Dead(3m)-Running(1m)-Dead(3m)-Running(2m)-Dead(9m)-Zombie(1m)-Dead(17m)-Zombie(1m)-Dead(7m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(8m)-Running(3m)-Dead(2m)-Running(1m)-Dead(1m)-Running(2m)-Dead(2m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(3m)-Running(1m)-Dead(2m),Dead,True,2018-12,2026-01,88
HebiRobotics/hebi_msgs,Running(2m)-Dead(10m)-Running(1m)-Dead(1m)-Running(1m)-Dead(10m)-Running(3m)-Dead(2m)-Running(2m)-Dead(2m),Dead,True,2023-06,2026-01,34
IMRCLab/motion_capture_tracking,Running(1m)-Dead(4m)-Running(2m)-Dead(2m)-Running(2m)-Dead(10m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(4m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(4m)-Running(2m)-Zombie(2m)-Dead(5m)-Running(1m)-Dead(1m),Dead,True,2021-02,2026-02,62
Ikerlan-KER/extrinsic_calibrator,Running(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(8m),Dead,False,2024-10,2025-07,18
JafarAbdi/feetech_ros2_driver,Running(2m)-Dead(3m)-Running(2m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(1m)-Zombie(2m)-Running(3m)-Dead(1m)-Zombie(1m),Zombie,True,2024-10,2026-03,18
