ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,rosbag2_compression,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_compression_zstd,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_cpp,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_examples_cpp,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_examples_py,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_interfaces,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_performance_benchmarking,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_performance_benchmarking_msgs,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_py,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_storage,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_storage_broll,rosbag2_broll,https://github.com/ros-tooling/rosbag2_broll.git,source,ros-tooling,rosbag2_broll,True,rosdistro_release_packages
kilted,rosbag2_storage_default_plugins,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_storage_mcap,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_storage_sqlite3,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_test_common,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_test_msgdefs,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_tests,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2_to_video,rosbag2_to_video,https://github.com/fictionlab/rosbag2_to_video.git,source,fictionlab,rosbag2_to_video,True,rosdistro_release_packages
kilted,rosbag2_transport,rosbag2,https://github.com/ros2/rosbag2.git,source,ros2,rosbag2,True,rosdistro_release_packages
kilted,rosbag2rawlog,mrpt_ros_bridge,https://github.com/MRPT/mrpt_ros_bridge.git,source,MRPT,mrpt_ros_bridge,True,rosdistro_release_packages
