ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,test_tracetools,,https://github.com/ros2/ros2_tracing.git,index_checkout_uri,ros2,ros2_tracing,True,index_html_checkout_uri
kilted,test_tracetools_launch,,https://github.com/ros2/ros2_tracing.git,index_checkout_uri,ros2,ros2_tracing,True,index_html_checkout_uri
kilted,turtlebot3_autorace_camera,,https://github.com/ROBOTIS-GIT/turtlebot3_autorace.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_autorace,True,index_html_checkout_uri
kilted,turtlebot3_autorace_detect,,https://github.com/ROBOTIS-GIT/turtlebot3_autorace.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_autorace,True,index_html_checkout_uri
kilted,turtlebot3_autorace_mission,,https://github.com/ROBOTIS-GIT/turtlebot3_autorace.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_autorace,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_bringup,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_cartographer,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_description,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_hardware,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_moveit_config,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_navigation2,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,turtlebot3_manipulation_teleop,,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,index_checkout_uri,ROBOTIS-GIT,turtlebot3_manipulation,True,index_html_checkout_uri
kilted,undo_path_global_planner,,,,,,False,
