full_name,ros_distro,n_packages_in_distro,repo_url
MarvelmindRobotics/marvelmind_ros2_msgs_release,humble,1,https://github.com/MarvelmindRobotics/marvelmind_ros2_msgs_release.git
MarvelmindRobotics/marvelmind_ros2_upstream,humble,1,https://github.com/MarvelmindRobotics/marvelmind_ros2_upstream.git
MetroRobots/classic_bags,humble,1,https://github.com/MetroRobots/classic_bags.git
MetroRobots/color_util,humble,1,https://github.com/MetroRobots/color_util.git
MetroRobots/metrics_msgs,humble,3,https://github.com/MetroRobots/metrics_msgs.git
MetroRobots/metro_nav,humble,2,https://github.com/MetroRobots/metro_nav.git
MetroRobots/polygon_ros,humble,4,https://github.com/MetroRobots/polygon_ros.git
MetroRobots/ros_system_fingerprint,humble,1,https://github.com/MetroRobots/ros_system_fingerprint.git
MetroRobots/social_nav_ros,humble,2,https://github.com/MetroRobots/social_nav_ros.git
MoffKalast/vizanti,humble,1,https://github.com/MoffKalast/vizanti.git
NVIDIA-ISAAC-ROS/greenwave_monitor,humble,1,https://github.com/NVIDIA-ISAAC-ROS/greenwave_monitor.git
Nathan85001/imu_calib,humble,1,https://github.com/Nathan85001/imu_calib.git
Neargye/magic_enum,humble,1,https://github.com/Neargye/magic_enum.git
OUXT-Polaris/boost_geometry_util,humble,1,https://github.com/OUXT-Polaris/boost_geometry_util.git
OUXT-Polaris/nmea_hardware_interface,humble,1,https://github.com/OUXT-Polaris/nmea_hardware_interface.git
OUXT-Polaris/ouxt_common,humble,2,https://github.com/OUXT-Polaris/ouxt_common.git
OUXT-Polaris/quaternion_operation,humble,1,https://github.com/OUXT-Polaris/quaternion_operation.git
OUXT-Polaris/sol_vendor,humble,1,https://github.com/OUXT-Polaris/sol_vendor.git
OctoMap/octomap_mapping,humble,2,https://github.com/OctoMap/octomap_mapping.git
OctoMap/octomap_ros,humble,1,https://github.com/OctoMap/octomap_ros.git
OctoMap/octomap_rviz_plugins,humble,1,https://github.com/OctoMap/octomap_rviz_plugins.git
OrebroUniversity/mod,humble,1,https://github.com/OrebroUniversity/mod.git
PRBonn/rko_lio,humble,1,https://github.com/PRBonn/rko_lio.git
PX4/px4_msgs,humble,1,https://github.com/PX4/px4_msgs.git
PickNikRobotics/RSL,humble,1,https://github.com/PickNikRobotics/RSL.git
PickNikRobotics/affordance_primitives,humble,1,https://github.com/PickNikRobotics/affordance_primitives.git
PickNikRobotics/cpp_polyfills,humble,2,https://github.com/PickNikRobotics/cpp_polyfills.git
PickNikRobotics/data_tamer,humble,2,https://github.com/PickNikRobotics/data_tamer.git
PickNikRobotics/generate_parameter_library,humble,3,https://github.com/PickNikRobotics/generate_parameter_library.git
PickNikRobotics/graph_msgs,humble,1,https://github.com/PickNikRobotics/graph_msgs.git
PickNikRobotics/launch_param_builder,humble,1,https://github.com/PickNikRobotics/launch_param_builder.git
PickNikRobotics/pick_ik,humble,1,https://github.com/PickNikRobotics/pick_ik.git
PickNikRobotics/picknik_controllers,humble,2,https://github.com/PickNikRobotics/picknik_controllers.git
PickNikRobotics/ros2_robotiq_gripper,humble,2,https://github.com/PickNikRobotics/ros2_robotiq_gripper.git
PickNikRobotics/rviz_visual_tools,humble,1,https://github.com/PickNikRobotics/rviz_visual_tools.git
PickNikRobotics/snowbot_operating_system,humble,1,https://github.com/PickNikRobotics/snowbot_operating_system.git
PlotJuggler/plotjuggler-ros-plugins,humble,1,https://github.com/PlotJuggler/plotjuggler-ros-plugins.git
ROBOTIS-GIT/DynamixelSDK,humble,3,https://github.com/ROBOTIS-GIT/DynamixelSDK.git
ROBOTIS-GIT/coin_d4_driver,humble,1,https://github.com/ROBOTIS-GIT/coin_d4_driver.git
ROBOTIS-GIT/dynamixel-workbench,humble,2,https://github.com/ROBOTIS-GIT/dynamixel-workbench.git
ROBOTIS-GIT/dynamixel-workbench-msgs,humble,1,https://github.com/ROBOTIS-GIT/dynamixel-workbench-msgs.git
ROBOTIS-GIT/dynamixel_hardware_interface,humble,1,https://github.com/ROBOTIS-GIT/dynamixel_hardware_interface.git
ROBOTIS-GIT/dynamixel_interfaces,humble,1,https://github.com/ROBOTIS-GIT/dynamixel_interfaces.git
ROBOTIS-GIT/hls_lfcd_lds_driver,humble,1,https://github.com/ROBOTIS-GIT/hls_lfcd_lds_driver.git
ROBOTIS-GIT/ld08_driver,humble,1,https://github.com/ROBOTIS-GIT/ld08_driver.git
ROBOTIS-GIT/open_manipulator,humble,7,https://github.com/ROBOTIS-GIT/open_manipulator.git
ROBOTIS-GIT/turtlebot3,humble,8,https://github.com/ROBOTIS-GIT/turtlebot3.git
ROBOTIS-GIT/turtlebot3_applications,humble,7,https://github.com/ROBOTIS-GIT/turtlebot3_applications.git
ROBOTIS-GIT/turtlebot3_applications_msgs,humble,1,https://github.com/ROBOTIS-GIT/turtlebot3_applications_msgs.git
ROBOTIS-GIT/turtlebot3_autorace,humble,4,https://github.com/ROBOTIS-GIT/turtlebot3_autorace.git
ROBOTIS-GIT/turtlebot3_home_service_challenge,humble,5,https://github.com/ROBOTIS-GIT/turtlebot3_home_service_challenge.git
ROBOTIS-GIT/turtlebot3_machine_learning,humble,1,https://github.com/ROBOTIS-GIT/turtlebot3_machine_learning.git
ROBOTIS-GIT/turtlebot3_manipulation,humble,8,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git
ROBOTIS-GIT/turtlebot3_msgs,humble,1,https://github.com/ROBOTIS-GIT/turtlebot3_msgs.git
ROBOTIS-GIT/turtlebot3_simulations,humble,4,https://github.com/ROBOTIS-GIT/turtlebot3_simulations.git
RobotWebTools/rosbridge_suite,humble,7,https://github.com/RobotWebTools/rosbridge_suite.git
RobotWebTools/tf2_web_republisher,humble,2,https://github.com/RobotWebTools/tf2_web_republisher.git
RobotWebTools/web_video_server,humble,1,https://github.com/RobotWebTools/web_video_server.git
RobotecAI/rai_interfaces,humble,1,https://github.com/RobotecAI/rai_interfaces.git
SBG-Systems/sbg_ros2,humble,1,https://github.com/SBG-Systems/sbg_ros2.git
SCHUNK-GmbH-Co-KG/schunk_svh_library,humble,1,https://github.com/SCHUNK-GmbH-Co-KG/schunk_svh_library.git
SICKAG/sick_safetyscanners2,humble,1,https://github.com/SICKAG/sick_safetyscanners2.git
SICKAG/sick_safetyscanners2_interfaces,humble,1,https://github.com/SICKAG/sick_safetyscanners2_interfaces.git
SICKAG/sick_safetyscanners_base,humble,1,https://github.com/SICKAG/sick_safetyscanners_base.git
SICKAG/sick_safevisionary_base,humble,1,https://github.com/SICKAG/sick_safevisionary_base.git
SICKAG/sick_safevisionary_ros2,humble,3,https://github.com/SICKAG/sick_safevisionary_ros2.git
SICKAG/sick_scan_xd,humble,1,https://github.com/SICKAG/sick_scan_xd.git
SMRT-AIST/fast_gicp,humble,1,https://github.com/SMRT-AIST/fast_gicp.git
Simple-Robotics/nanoeigenpy,humble,1,https://github.com/Simple-Robotics/nanoeigenpy.git
Simple-Robotics/proxsuite,humble,1,https://github.com/Simple-Robotics/proxsuite.git
Slamtec/rplidar_ros,humble,1,https://github.com/Slamtec/rplidar_ros.git
StefanFabian/qml6_ros2_plugin,humble,1,https://github.com/StefanFabian/qml6_ros2_plugin.git
