full_name,repo_url,distros,n_distros,n_packages_total,resolved_via_breakdown
swri-robotics/marti_messages,https://github.com/swri-robotics/marti_messages.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
naturerobots/move_base_flex,https://github.com/naturerobots/move_base_flex.git,humble|jazzy,2,9,rosdistro_release_packages:18
MOCAP4ROS2-Project/mocap4r2,https://github.com/MOCAP4ROS2-Project/mocap4r2.git,humble,1,9,rosdistro_release_packages:9
mrpt-ros-pkg/mrpt_navigation,https://github.com/mrpt-ros-pkg/mrpt_navigation.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
ros2/rviz,https://github.com/ros2/rviz.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:25
astuff/astuff_sensor_msgs,https://github.com/astuff/astuff_sensor_msgs.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
stonier/ecl_lite,https://github.com/stonier/ecl_lite.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
ros-sports/r2r_spl,https://github.com/ros-sports/r2r_spl.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:14;rosdistro_repo_key_name_match:2
open-rmf/rmf_visualization,https://github.com/open-rmf/rmf_visualization.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
ROBOTIS-GIT/turtlebot3,https://github.com/ROBOTIS-GIT/turtlebot3.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
ROBOTIS-GIT/turtlebot3_manipulation,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation.git,humble|jazzy|kilted,3,8,rosdistro_release_packages:16;rosdistro_repo_key_name_match:1
luxonis/depthai-ros,https://github.com/luxonis/depthai-ros.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
Kinovarobotics/ros2_kortex,https://github.com/Kinovarobotics/ros2_kortex.git,humble|jazzy,2,7,rosdistro_release_packages:14
ros-planning/moveit_resources,https://github.com/ros-planning/moveit_resources.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:20
mrpt-ros-pkg/mrpt_sensors,https://github.com/mrpt-ros-pkg/mrpt_sensors.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
open-rmf/rmf_demos,https://github.com/open-rmf/rmf_demos.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:11;rosdistro_repo_key_name_match:2
open-rmf/rmf_ros2,https://github.com/open-rmf/rmf_ros2.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:18
ros2/ros2_tracing,https://github.com/ros2/ros2_tracing.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:20
RobotWebTools/rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
ROBOTIS-GIT/turtlebot3_applications,https://github.com/ROBOTIS-GIT/turtlebot3_applications.git,humble|jazzy,2,7,rosdistro_release_packages:14
turtlebot/turtlebot4_simulator,https://github.com/turtlebot/turtlebot4_simulator.git,humble|jazzy,2,7,rosdistro_release_packages:8
UniversalRobots/Universal_Robots_ROS2_Driver,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:19
uleroboticsgroup/yasmin,https://github.com/uleroboticsgroup/yasmin.git,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
AutoAPMS/auto-apms,https://github.com/AutoAPMS/auto-apms.git,jazzy|kilted,2,7,rosdistro_release_packages:14
autowarefoundation/agnocast,https://github.com/autowarefoundation/agnocast.git,humble,1,6,rosdistro_release_packages:6
autowarefoundation/autoware_internal_msgs,https://github.com/autowarefoundation/autoware_internal_msgs.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:17
autowarefoundation/autoware_rviz_plugins,https://github.com/autowarefoundation/autoware_rviz_plugins.git,humble,1,6,rosdistro_release_packages:6
ros-perception/image_common,https://github.com/ros-perception/image_common.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:16
rt-net/crane_plus,https://github.com/rt-net/crane_plus.git,humble|jazzy,2,6,rosdistro_release_packages:12
iRobotEducation/create3_examples,https://github.com/iRobotEducation/create3_examples.git,humble|jazzy,2,6,rosdistro_release_packages:12
ros2/variants,https://github.com/ros2/variants.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
ros/diagnostics,https://github.com/ros/diagnostics.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
clearpathrobotics/ewellix_lift_common,https://github.com/clearpathrobotics/ewellix_lift_common.git,humble|jazzy,2,6,rosdistro_release_packages:12
ros-drivers/joystick_drivers,https://github.com/ros-drivers/joystick_drivers.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
ros2/launch,https://github.com/ros2/launch.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
moveit/moveit_task_constructor,https://github.com/moveit/moveit_task_constructor.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
aussierobots/ublox_dgnss,https://github.com/aussierobots/ublox_dgnss.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
ros-visualization/qt_gui_core,https://github.com/ros-visualization/qt_gui_core.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
open-rmf/rmf_simulation,https://github.com/open-rmf/rmf_simulation.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:12
ros-sports/soccer_interfaces,https://github.com/ros-sports/soccer_interfaces.git,humble|jazzy|kilted,3,6,rosdistro_release_packages:16
pal-robotics/talos_robot,https://github.com/pal-robotics/talos_robot.git,humble,1,6,rosdistro_release_packages:6
ros2/ament_cmake_ros,https://github.com/ros2/ament_cmake_ros.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:9
ros-misc-utilities/apriltag_detector,https://github.com/ros-misc-utilities/apriltag_detector.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
blackcoffeerobotics/bcr_arm,https://github.com/blackcoffeerobotics/bcr_arm.git,humble|jazzy,2,5,rosdistro_release_packages:10
ros/bond_core,https://github.com/ros/bond_core.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
ros-perception/image_transport_plugins,https://github.com/ros-perception/image_transport_plugins.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:14
IMRCLab/crazyswarm2,https://github.com/IMRCLab/crazyswarm2.git,humble|jazzy,2,5,rosdistro_release_packages:10
AutonomyLab/create_robot,https://github.com/AutonomyLab/create_robot.git,humble,1,5,rosdistro_release_packages:5
ros-perception/point_cloud_transport_plugins,https://github.com/ros-perception/point_cloud_transport_plugins.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
ros-simulation/gazebo_ros_pkgs,https://github.com/ros-simulation/gazebo_ros_pkgs.git,humble,1,5,rosdistro_release_packages:5
ros-controls/gz_ros2_control,https://github.com/ros-controls/gz_ros2_control.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:9
ros-teleop/teleop_tools,https://github.com/ros-teleop/teleop_tools.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
mavlink/mavros,https://github.com/mavlink/mavros.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
swri-robotics/mapviz,https://github.com/swri-robotics/mapviz.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
LORD-MicroStrain/microstrain_inertial,https://github.com/LORD-MicroStrain/microstrain_inertial.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
MOLAorg/mola_state_estimation,https://github.com/MOLAorg/mola_state_estimation.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
pal-robotics/pal_pro_gripper,https://github.com/pal-robotics/pal_pro_gripper.git,humble,1,5,rosdistro_release_packages:5
ros-visualization/rqt,https://github.com/ros-visualization/rqt.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
ROBOTIS-GIT/turtlebot3_home_service_challenge,https://github.com/ROBOTIS-GIT/turtlebot3_home_service_challenge.git,humble|jazzy,2,5,rosdistro_release_packages:10
turtlebot/turtlebot4_robot,https://github.com/turtlebot/turtlebot4_robot.git,humble|jazzy,2,5,rosdistro_release_packages:10
ros-drivers/velodyne,https://github.com/ros-drivers/velodyne.git,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
alliedvision/vimbax_ros2_driver,https://github.com/alliedvision/vimbax_ros2_driver.git,humble,1,5,rosdistro_release_packages:5
ctu-vras/compass,https://github.com/ctu-vras/compass.git,jazzy|kilted,2,5,rosdistro_release_packages:10
EasyNavigation/NavMap,https://github.com/EasyNavigation/NavMap.git,jazzy|kilted,2,5,rosdistro_release_packages:10
ros-drivers/transport_drivers,https://github.com/ros-drivers/transport_drivers.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
clearpathrobotics/clearpath_desktop,https://github.com/clearpathrobotics/clearpath_desktop.git,humble|jazzy,2,4,rosdistro_release_packages:7
4am-robotics/cob_common,https://github.com/4am-robotics/cob_common.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;rosdistro_repo_key_name_match:3
chapulina/dolly,https://github.com/chapulina/dolly.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros/executive_smach,https://github.com/ros/executive_smach.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros-drivers/flir_camera_driver,https://github.com/ros-drivers/flir_camera_driver.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
42dot/foros,https://github.com/42dot/foros.git,humble,1,4,rosdistro_release_packages:4
unisa-acg/inverse-dynamics-solver,https://github.com/unisa-acg/inverse-dynamics-solver.git,humble|jazzy,2,4,rosdistro_release_packages:8
nlamprian/gazebo_video_monitors,https://github.com/nlamprian/gazebo_video_monitors.git,humble,1,4,rosdistro_release_packages:4
swri-robotics/gps_umd,https://github.com/swri-robotics/gps_umd.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
