full_name,repo_url,distros,n_distros,n_packages_total,resolved_via_breakdown
FraunhoferIOSB/camera_aravis2,https://github.com/FraunhoferIOSB/camera_aravis2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:4;rosdistro_repo_key_name_match:1
tier4/caret_trace,https://github.com/tier4/caret_trace.git,humble,1,2,rosdistro_release_packages:1;rosdistro_repo_key_name_match:1
clearpathrobotics/clearpath_msgs,https://github.com/clearpathrobotics/clearpath_msgs.git,humble|jazzy,2,2,rosdistro_release_packages:4
facontidavide/cloudini,https://github.com/facontidavide/cloudini.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
PickNikRobotics/data_tamer,https://github.com/PickNikRobotics/data_tamer.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
luxonis/depthai-core,https://github.com/luxonis/depthai-core.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:3
ROBOTIS-GIT/dynamixel-workbench,https://github.com/ROBOTIS-GIT/dynamixel-workbench.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
eurogroep/fadecandy_ros,https://github.com/eurogroep/fadecandy_ros.git,humble|jazzy,2,2,rosdistro_release_packages:4
eProsima/Fast-DDS,https://github.com/eProsima/Fast-DDS.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:3
boschresearch/fmi_adapter,https://github.com/boschresearch/fmi_adapter.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
BerkeleyAutomation/FogROS2,https://github.com/BerkeleyAutomation/FogROS2.git,humble,1,2,rosdistro_release_packages:2
foxglove/foxglove-sdk,https://github.com/foxglove/foxglove-sdk.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros-simulation/gazebo_ros2_control,https://github.com/ros-simulation/gazebo_ros2_control.git,humble,1,2,rosdistro_release_packages:2
ament/googletest,https://github.com/ament/googletest.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/rmw_gurumdds,https://github.com/ros2/rmw_gurumdds.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros4hri/libhri,https://github.com/ros4hri/libhri.git,humble|jazzy,2,2,rosdistro_release_packages:4
husarion/husarion_ugv_ros,https://github.com/husarion/husarion_ugv_ros.git,humble|jazzy,2,2,rosdistro_release_packages:4
ros/joint_state_publisher,https://github.com/ros/joint_state_publisher.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
automatika-robotics/kompass,https://github.com/automatika-robotics/kompass.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
kroshu/kuka-external-control-sdk,https://github.com/kroshu/kuka-external-control-sdk.git,humble,1,2,rosdistro_release_packages:2
LeoRover/leo_desktop-ros2,https://github.com/LeoRover/leo_desktop-ros2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros/resource_retriever,https://github.com/ros/resource_retriever.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
apl-ocean-engineering/marine_msgs,https://github.com/apl-ocean-engineering/marine_msgs.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
micro-ROS/micro_ros_diagnostics,https://github.com/micro-ROS/micro_ros_diagnostics.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
IMRCLab/motion_capture_tracking,https://github.com/IMRCLab/motion_capture_tracking.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ika-rwth-aachen/mqtt_client,https://github.com/ika-rwth-aachen/mqtt_client.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
MRPT/mrpt_ros_bridge,https://github.com/MRPT/mrpt_ros_bridge.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ijnek/nao_interfaces,https://github.com/ijnek/nao_interfaces.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ubuntu-robotics/nodl,https://github.com/ubuntu-robotics/nodl.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
swri-robotics/novatel_gps_driver,https://github.com/swri-robotics/novatel_gps_driver.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
novatel/novatel_oem7_driver,https://github.com/novatel/novatel_oem7_driver.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:4;rosdistro_repo_key_name_match:1
OctoMap/octomap_mapping,https://github.com/OctoMap/octomap_mapping.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
pal-robotics/omni_base_simulation,https://github.com/pal-robotics/omni_base_simulation.git,humble,1,2,rosdistro_release_packages:2
SteveMacenski/spatio_temporal_voxel_layer,https://github.com/SteveMacenski/spatio_temporal_voxel_layer.git,humble|jazzy,2,2,rosdistro_release_packages:4
ros2/orocos_kdl_vendor,https://github.com/ros2/orocos_kdl_vendor.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
SteveMacenski/ros2_ouster_drivers,https://github.com/SteveMacenski/ros2_ouster_drivers.git,humble,1,2,rosdistro_release_packages:2
ouster-lidar/ouster-ros,https://github.com/ouster-lidar/ouster-ros.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
OUXT-Polaris/ouxt_common,https://github.com/OUXT-Polaris/ouxt_common.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
pal-robotics/pal_sea_arm_simulation,https://github.com/pal-robotics/pal_sea_arm_simulation.git,humble,1,2,rosdistro_release_packages:2
pal-robotics/pal_statistics,https://github.com/pal-robotics/pal_statistics.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
PickNikRobotics/picknik_controllers,https://github.com/PickNikRobotics/picknik_controllers.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros/pluginlib,https://github.com/ros/pluginlib.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
pal-robotics/pmb2_simulation,https://github.com/pal-robotics/pmb2_simulation.git,humble,1,2,rosdistro_release_packages:2
ros-perception/point_cloud_transport,https://github.com/ros-perception/point_cloud_transport.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
umdlife/psdk_ros2,https://github.com/umdlife/psdk_ros2.git,humble,1,2,rosdistro_release_packages:2
rt-net/raspimouse2,https://github.com/rt-net/raspimouse2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
roboception/rc_reason_clients_ros2,https://github.com/roboception/rc_reason_clients_ros2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
DFKI-NI/rospy_message_converter,https://github.com/DFKI-NI/rospy_message_converter.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
open-rmf/rmf_task,https://github.com/open-rmf/rmf_task.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
open-rmf/rmf_traffic,https://github.com/open-rmf/rmf_traffic.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
mikeferguson/robot_calibration,https://github.com/mikeferguson/robot_calibration.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
PickNikRobotics/ros2_robotiq_gripper,https://github.com/PickNikRobotics/ros2_robotiq_gripper.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/rosbag2_bag_v2,https://github.com/ros2/rosbag2_bag_v2.git,humble,1,2,rosdistro_release_packages:2
autowarefoundation/ros2_socketcan,https://github.com/autowarefoundation/ros2_socketcan.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
osrf/ros2launch_security,https://github.com/osrf/ros2launch_security.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/ros_testing,https://github.com/ros2/ros_testing.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros-tracing/tracetools_analysis,https://github.com/ros-tracing/tracetools_analysis.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
LOEWE-emergenCITY/ros2_babel_fish,https://github.com/LOEWE-emergenCITY/ros2_babel_fish.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/rosidl_defaults,https://github.com/ros2/rosidl_defaults.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/rosidl_typesupport,https://github.com/ros2/rosidl_typesupport.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros-visualization/rqt_bag,https://github.com/ros-visualization/rqt_bag.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros-sports/rqt_image_overlay,https://github.com/ros-sports/rqt_image_overlay.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
rt-net/rt_manipulators_cpp,https://github.com/rt-net/rt_manipulators_cpp.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros2/realtime_support,https://github.com/ros2/realtime_support.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
teamspatzenhirn/rviz_2d_overlay_plugins,https://github.com/teamspatzenhirn/rviz_2d_overlay_plugins.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
robosoft-ai/SMACC2,https://github.com/robosoft-ai/SMACC2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
MetroRobots/social_nav_ros,https://github.com/MetroRobots/social_nav_ros.git,humble,1,2,rosdistro_release_packages:2
ros2/sros2,https://github.com/ros2/sros2.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
open-rmf/stubborn_buddies,https://github.com/open-rmf/stubborn_buddies.git,humble,1,2,rosdistro_release_packages:2
PickNikRobotics/cpp_polyfills,https://github.com/PickNikRobotics/cpp_polyfills.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
RobotWebTools/tf2_web_republisher,https://github.com/RobotWebTools/tf2_web_republisher.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
pal-robotics/tiago_simulation,https://github.com/pal-robotics/tiago_simulation.git,humble,1,2,rosdistro_release_packages:2
pal-robotics/tiago_pro_simulation,https://github.com/pal-robotics/tiago_pro_simulation.git,humble,1,2,rosdistro_release_packages:2
pal-robotics/tiago_pro_head_simulation,https://github.com/pal-robotics/tiago_pro_head_simulation.git,humble,1,2,rosdistro_release_packages:2
ros-tooling/topic_tools,https://github.com/ros-tooling/topic_tools.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
turtlebot/turtlebot4_desktop,https://github.com/turtlebot/turtlebot4_desktop.git,humble|jazzy,2,2,rosdistro_release_packages:4
ros/ros_tutorials,https://github.com/ros/ros_tutorials.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:4
ros2/urdf,https://github.com/ros2/urdf.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ros-perception/vision_msgs,https://github.com/ros-perception/vision_msgs.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
clearpathrobotics/wireless,https://github.com/clearpathrobotics/wireless.git,humble|jazzy,2,2,rosdistro_release_packages:4
ros-drivers/zbar_ros,https://github.com/ros-drivers/zbar_ros.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:5
ipa320/ros_battery_monitoring,https://github.com/ipa320/ros_battery_monitoring.git,jazzy|kilted,2,2,rosdistro_release_packages:4
b-robotized/beckhoff_ads_driver-release,https://github.com/b-robotized/beckhoff_ads_driver-release.git,jazzy|kilted,2,2,rosdistro_release_packages:4
clearpathrobotics/canopen_inventus,https://github.com/clearpathrobotics/canopen_inventus.git,jazzy,1,2,rosdistro_release_packages:2
ros-controls/topic_based_hardware_interfaces,https://github.com/ros-controls/topic_based_hardware_interfaces.git,jazzy|kilted,2,2,rosdistro_release_packages:4
analogdevicesinc/depth-obstacle-detect-ros,https://github.com/analogdevicesinc/depth-obstacle-detect-ros.git,jazzy,1,2,rosdistro_release_packages:2
ros2-gbp/gazebo_ros_pkgs-release,https://github.com/ros2-gbp/gazebo_ros_pkgs-release.git,jazzy,1,2,rosdistro_release_packages:1;rosdistro_repo_key_name_match:1
RaphRover/raph_robot,https://github.com/RaphRover/raph_robot.git,jazzy,1,2,rosdistro_release_packages:2
jlack1987/rdl-release,https://github.com/jlack1987/rdl-release.git,jazzy,1,2,rosdistro_release_packages:2
ros2/rosidl_core,https://github.com/ros2/rosidl_core.git,jazzy|kilted,2,2,rosdistro_release_packages:4
ros/sdformat_urdf,https://github.com/ros/sdformat_urdf.git,jazzy|kilted,2,2,rosdistro_release_packages:4
SteveMacenski/spatio_temporal_voxel_layer-release,https://github.com/SteveMacenski/spatio_temporal_voxel_layer-release.git,kilted,1,2,rosdistro_release_packages:2
TechMagicKK/aandd_ekew_driver_py,https://github.com/TechMagicKK/aandd_ekew_driver_py.git,humble,1,1,rosdistro_release_packages:1
ros-drivers/ackermann_msgs,https://github.com/ros-drivers/ackermann_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
rudislabs/actuator_msgs,https://github.com/rudislabs/actuator_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-acceleration/adaptive_component,https://github.com/ros-acceleration/adaptive_component.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
analogdevicesinc/adi_3dtof_adtf31xx,https://github.com/analogdevicesinc/adi_3dtof_adtf31xx.git,humble,1,1,rosdistro_repo_key_name_match:1
analogdevicesinc/adi_3dtof_image_stitching,https://github.com/analogdevicesinc/adi_3dtof_image_stitching.git,humble,1,1,rosdistro_release_packages:1
analogdevicesinc/iio_ros2,https://github.com/analogdevicesinc/iio_ros2.git,humble|jazzy|kilted,3,1,rosdistro_repo_key_name_match:2;rosdistro_release_packages:1
analogdevicesinc/imu_ros2,https://github.com/analogdevicesinc/imu_ros2.git,humble|jazzy,2,1,rosdistro_release_packages:1;rosdistro_repo_key_name_match:1
analogdevicesinc/adi_tmc_coe_ros2,https://github.com/analogdevicesinc/adi_tmc_coe_ros2.git,humble,1,1,rosdistro_repo_key_name_match:1
analogdevicesinc/tmcl_ros2,https://github.com/analogdevicesinc/tmcl_ros2.git,humble,1,1,rosdistro_release_packages:1
PickNikRobotics/affordance_primitives,https://github.com/PickNikRobotics/affordance_primitives.git,humble,1,1,rosdistro_release_packages:1
robosoft-ai/ai_prompt_msgs,https://github.com/robosoft-ai/ai_prompt_msgs.git,humble|jazzy,2,1,rosdistro_repo_key_name_match:2
ros-acceleration/ament_acceleration,https://github.com/ros-acceleration/ament_acceleration.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
open-rmf/ament_cmake_catch2,https://github.com/open-rmf/ament_cmake_catch2.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
samsung-ros/ament_download,https://github.com/samsung-ros/ament_download.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ubuntu-robotics/ament_nodl,https://github.com/ubuntu-robotics/ament_nodl.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ament/ament_package,https://github.com/ament/ament_package.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-acceleration/ament_vitis,https://github.com/ros-acceleration/ament_vitis.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
Ekumen-OS/andino_gz,https://github.com/Ekumen-OS/andino_gz.git,humble,1,1,rosdistro_release_packages:1
ros/angles,https://github.com/ros/angles.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
AprilRobotics/apriltag,https://github.com/AprilRobotics/apriltag.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/apriltag_mit,https://github.com/ros-misc-utilities/apriltag_mit.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
christianrauch/apriltag_msgs,https://github.com/christianrauch/apriltag_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
christianrauch/apriltag_ros,https://github.com/christianrauch/apriltag_ros.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
aerostack2/as2_platform_crazyflie,https://github.com/aerostack2/as2_platform_crazyflie.git,humble,1,1,rosdistro_release_packages:1
aerostack2/as2_platform_dji_osdk,https://github.com/aerostack2/as2_platform_dji_osdk.git,humble,1,1,rosdistro_release_packages:1
aerostack2/as2_platform_dji_psdk,https://github.com/aerostack2/as2_platform_dji_psdk.git,humble,1,1,rosdistro_release_packages:1
aerostack2/as2_platform_mavlink,https://github.com/aerostack2/as2_platform_mavlink.git,humble,1,1,rosdistro_release_packages:1
aerostack2/as2_platform_pixhawk,https://github.com/aerostack2/as2_platform_pixhawk.git,humble,1,1,rosdistro_repo_key_name_match:1
aerostack2/as2_platform_tello,https://github.com/aerostack2/as2_platform_tello.git,humble,1,1,rosdistro_release_packages:1
fkie/async_web_server_cpp,https://github.com/fkie/async_web_server_cpp.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ma-shangao/at_sonde_ros_driver,https://github.com/ma-shangao/at_sonde_ros_driver.git,humble|jazzy,2,1,rosdistro_release_packages:2
automatika-robotics/ros-agents,https://github.com/automatika-robotics/ros-agents.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
automatika-robotics/ros-sugar,https://github.com/automatika-robotics/ros-sugar.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
astuff/avt_vimba_camera,https://github.com/astuff/avt_vimba_camera.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
aws-robotics/aws-robomaker-small-warehouse-world,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
wep21/aws_sdk_cpp_vendor,https://github.com/wep21/aws_sdk_cpp_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
pal-robotics/backward_ros,https://github.com/pal-robotics/backward_ros.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
wep21/bag2_to_image,https://github.com/wep21/bag2_to_image.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
blackcoffeerobotics/bcr_bot,https://github.com/blackcoffeerobotics/bcr_bot.git,humble|jazzy,2,1,rosdistro_release_packages:2
dfki-ric/better_launch,https://github.com/dfki-ric/better_launch.git,humble|jazzy|kilted,3,1,rosdistro_repo_key_name_match:3
flynneva/bno055,https://github.com/flynneva/bno055.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
bnbhat/bno08x_ros2_driver,https://github.com/bnbhat/bno08x_ros2_driver.git,humble,1,1,rosdistro_repo_key_name_match:1
bob-ros2/bob_llm,https://github.com/bob-ros2/bob_llm.git,humble,1,1,rosdistro_release_packages:1
OUXT-Polaris/boost_geometry_util,https://github.com/OUXT-Polaris/boost_geometry_util.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
tesseract-robotics/boost_plugin_loader,https://github.com/tesseract-robotics/boost_plugin_loader.git,humble|jazzy|kilted,3,1,rosdistro_repo_key_name_match:2;rosdistro_release_packages:1
tier4/callback_isolated_executor,https://github.com/tier4/callback_isolated_executor.git,humble,1,1,rosdistro_repo_key_name_match:1
christianrauch/camera_ros,https://github.com/christianrauch/camera_ros.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-industrial/ros_canopen,https://github.com/ros-industrial/ros_canopen.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
robotic-esp/canboat_vendor,https://github.com/robotic-esp/canboat_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:2;rosdistro_repo_key_name_match:1
tier4/caret_analyze,https://github.com/tier4/caret_analyze.git,humble,1,1,rosdistro_release_packages:1
tier4/caret_analyze_cpp_impl,https://github.com/tier4/caret_analyze_cpp_impl.git,humble,1,1,rosdistro_release_packages:1
ros2/cartographer,https://github.com/ros2/cartographer.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ngmor/catch_ros2,https://github.com/ngmor/catch_ros2.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros/class_loader,https://github.com/ros/class_loader.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
MetroRobots/classic_bags,https://github.com/MetroRobots/classic_bags.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
clearpathrobotics/clearpath_config,https://github.com/clearpathrobotics/clearpath_config.git,humble|jazzy,2,1,rosdistro_release_packages:2
clearpath-gbp/clearpath_mecanum_drive_controller-release,https://github.com/clearpath-gbp/clearpath_mecanum_drive_controller-release.git,humble,1,1,rosdistro_release_packages:1
clearpathrobotics/clearpath_nav2_demos,https://github.com/clearpathrobotics/clearpath_nav2_demos.git,humble|jazzy,2,1,rosdistro_release_packages:2
carologistics/clips_vendor,https://github.com/carologistics/clips_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:2;rosdistro_repo_key_name_match:1
coal-library/coal,https://github.com/coal-library/coal.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ROBOTIS-GIT/coin_d4_driver,https://github.com/ROBOTIS-GIT/coin_d4_driver.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
MetroRobots/color_util,https://github.com/MetroRobots/color_util.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros2/console_bridge_vendor,https://github.com/ros2/console_bridge_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
rst-tu-dortmund/control_box_rst,https://github.com/rst-tu-dortmund/control_box_rst.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-controls/control_msgs,https://github.com/ros-controls/control_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-controls/control_toolbox,https://github.com/ros-controls/control_toolbox.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
danielcranston/crx_kinematics,https://github.com/danielcranston/crx_kinematics.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
tier4/cudnn_cmake_module,https://github.com/tier4/cudnn_cmake_module.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
eclipse-cyclonedds/cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-perception/depthimage_to_laserscan,https://github.com/ros-perception/depthimage_to_laserscan.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
tier4/digestible,https://github.com/tier4/digestible.git,humble,1,1,rosdistro_release_packages:1
ros2/domain_bridge,https://github.com/ros2/domain_bridge.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
gstavrinos/doom_ros,https://github.com/gstavrinos/doom_ros.git,humble|jazzy|kilted,3,1,rosdistro_repo_key_name_match:3
pradyum/dual_laser_merger,https://github.com/pradyum/dual_laser_merger.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
dynamixel-community/dynamixel_hardware,https://github.com/dynamixel-community/dynamixel_hardware.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:2;rosdistro_repo_key_name_match:1
ROBOTIS-GIT/dynamixel_hardware_interface,https://github.com/ROBOTIS-GIT/dynamixel_hardware_interface.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ROBOTIS-GIT/dynamixel_interfaces,https://github.com/ROBOTIS-GIT/dynamixel_interfaces.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ROBOTIS-GIT/dynamixel-workbench-msgs,https://github.com/ROBOTIS-GIT/dynamixel-workbench-msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
eclipse-ecal/ecal,https://github.com/eclipse-ecal/ecal.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros2/eigen3_cmake_module,https://github.com/ros2/eigen3_cmake_module.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros/eigen_stl_containers,https://github.com/ros/eigen_stl_containers.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
stack-of-tasks/eigenpy,https://github.com/stack-of-tasks/eigenpy.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
stack-of-tasks/eiquadprog,https://github.com/stack-of-tasks/eiquadprog.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
cubicleguy/ess_imu_driver2,https://github.com/cubicleguy/ess_imu_driver2.git,humble|jazzy,2,1,rosdistro_release_packages:2
ros-event-camera/event_camera_codecs,https://github.com/ros-event-camera/event_camera_codecs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/event_camera_msgs,https://github.com/ros-event-camera/event_camera_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/event_camera_py,https://github.com/ros-event-camera/event_camera_py.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/event_camera_renderer,https://github.com/ros-event-camera/event_camera_renderer.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/event_camera_tools,https://github.com/ros-event-camera/event_camera_tools.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/event_image_reconstruction_fibar,https://github.com/ros-event-camera/event_image_reconstruction_fibar.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros2/example_interfaces,https://github.com/ros2/example_interfaces.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
Ikerlan-KER/extrinsic_calibrator,https://github.com/Ikerlan-KER/extrinsic_calibrator.git,humble,1,1,rosdistro_repo_key_name_match:1
SMRT-AIST/fast_gicp,https://github.com/SMRT-AIST/fast_gicp.git,humble,1,1,rosdistro_release_packages:1
JafarAbdi/feetech_ros2_driver,https://github.com/JafarAbdi/feetech_ros2_driver.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/ffmpeg_encoder_decoder,https://github.com/ros-misc-utilities/ffmpeg_encoder_decoder.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/ffmpeg_image_transport,https://github.com/ros-misc-utilities/ffmpeg_image_transport.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/ffmpeg_image_transport_msgs,https://github.com/ros-misc-utilities/ffmpeg_image_transport_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/ffmpeg_image_transport_tools,https://github.com/ros-misc-utilities/ffmpeg_image_transport_tools.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-event-camera/fibar_lib,https://github.com/ros-event-camera/fibar_lib.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
Fields2Cover/fields2cover,https://github.com/Fields2Cover/fields2cover.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros/filters,https://github.com/ros/filters.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
introlab/find-object,https://github.com/introlab/find-object.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
fkie/message_filters,https://github.com/fkie/message_filters.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
fkie/potree_rviz_plugin,https://github.com/fkie/potree_rviz_plugin.git,humble|jazzy|kilted,3,1,rosdistro_repo_key_name_match:3
ros-misc-utilities/flex_sync,https://github.com/ros-misc-utilities/flex_sync.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
flexbe/flexbe_app,https://github.com/flexbe/flexbe_app.git,humble,1,1,rosdistro_repo_key_name_match:1
minipada/fluent_bit_vendor,https://github.com/minipada/fluent_bit_vendor.git,humble,1,1,rosdistro_repo_key_name_match:1
ForteFibre/FluentRviz,https://github.com/ForteFibre/FluentRviz.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
boschresearch/fmilibrary_vendor,https://github.com/boschresearch/fmilibrary_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
eProsima/foonathan_memory_vendor,https://github.com/eProsima/foonathan_memory_vendor.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-drivers/four_wheel_steering_msgs,https://github.com/ros-drivers/four_wheel_steering_msgs.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
ros-misc-utilities/foxglove_compressed_video_transport,https://github.com/ros-misc-utilities/foxglove_compressed_video_transport.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
frankaemika/franka_description,https://github.com/frankaemika/franka_description.git,humble,1,1,rosdistro_release_packages:1
ros-event-camera/frequency_cam,https://github.com/ros-event-camera/frequency_cam.git,humble|jazzy|kilted,3,1,rosdistro_release_packages:3
