Feature,Importance (mean),Importance (std),C-index
Forks/month,0.10751019596140458,0.02414122126996947,0.8179647866308565
Has Newcomer Labels,0.03396001193673532,0.007866367432960505,0.8179647866308565
Is Organization,0.00833582015318813,0.0031595102528762767,0.8179647866308565
Newcomers/month,0.008097085447130229,0.004821548022584665,0.8179647866308565
Commits/month,0.005600318312941425,0.00989788542241276,0.8179647866308565
Has README,0.0027255545608276368,0.0021314585055924183,0.8179647866308565
Has CONTRIBUTING,-0.00012931463244800028,0.0018603274210780441,0.8179647866308565
Has PR Template,-0.00013926191186708348,0.0011158701810309512,0.8179647866308565
