distribution,total_packages,unique_packages,packages_on_github,not_on_github,github_percentage,unique_repositories,repos_after_exclusion,repos_exclusive_to_distro,repos_multi_distro,unique_packages_after_exclusion,repos_with_multiple_packages,pct_repos_with_multiple_packages,packages_in_multi_pkg_repos,pct_packages_in_multi_pkg_repos
humble,2328,2328,2074,254,89.1%,778,730,138,,,,,,
jazzy,2104,2104,1890,214,89.8%,711,664,19,,,,,,
kilted,1810,1810,1636,174,90.4%,621,585,7,,,,,,
TOTAL,6242,2660,5600,642,89.7%,874,810,164,646,2250,287,35.4%,1729,76.8%
