Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
zbar_ros,ros-drivers,Lightweight ROS wrapper for zbar barcode/qrcode reader library (http://zbar.sourceforge.net/),https://github.com/ros-drivers/zbar_ros,9547,60,60,1,,BSD-3-Clause,True,False,False,False,False,False,,9,79,2015-01-06T20:26:41Z,9,223,0,code,Organization,9547,45,60,C++;CMake,1,21,23,0,9,51.15,151.44,0.59,0.07,0.45,0.45,2.19,0.0,0.0,134,ros-drivers/zbar_ros,humble|jazzy|kilted,
ros_battery_monitoring,ipa320,ros2_control battery sensor interfaces,https://github.com/ipa320/ros_battery_monitoring,24,9,11,7,ros;ros2,MIT,True,False,False,False,False,True,good first issue,5,26,2024-07-22T14:37:54Z,14,560,0,code,Organization,24,6,9,C++;CMake,4,4,4,3,3,2.64,0.92,1.3,0.3,0.55,0.45,0.53,0.0,0.0,20,ipa320/ros_battery_monitoring,jazzy|kilted,
canopen_inventus,clearpathrobotics,ROS 2 CANOpen Inventus BMU driver ,https://github.com/clearpathrobotics/canopen_inventus,82,4,0,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,41,2025-04-09T20:34:55Z,11,793,0,code,Organization,82,1,4,C++;CMake,0,2,2,0,0,0.53,,3.73,0.27,0.0,0.36,1.93,0.0,0.0,11,clearpathrobotics/canopen_inventus,jazzy,
topic_based_hardware_interfaces,ros-controls,,https://github.com/ros-controls/topic_based_hardware_interfaces,109,7,3,4,,Apache-2.0,True,False,False,False,False,True,good first issue,6,44,2025-06-06T03:32:00Z,25,1637,0,code,Organization,109,4,7,C++;Python;CMake;JavaScript,0,37,41,4,52,6.79,18.46,4.89,0.67,0.33,0.78,4.49,0.0,0.0,9,ros-controls/topic_based_hardware_interfaces,jazzy|kilted,
depth-obstacle-detect-ros,analogdevicesinc,depth_obstacle_detect_ros,https://github.com/analogdevicesinc/depth-obstacle-detect-ros,634,21,2,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,8,2025-03-18T14:51:20Z,1,2,0,docs,Organization,634,3,21,C++;CMake;Python,0,4,5,0,0,0.55,,0.67,0.25,0.17,1.75,3.4,0.0,0.0,12,analogdevicesinc/depth-obstacle-detect-ros,jazzy,
raph_robot,RaphRover,Robot ROS packages for Rapha Rover,https://github.com/RaphRover/raph_robot,344,1,0,1,,MIT,True,False,False,False,False,True,good first issue,3,103,2022-03-11T15:35:15Z,8,147,0,config,Organization,344,1,1,Python;CMake,1,6,7,0,0,127.09,,2.45,0.07,0.0,0.02,0.13,0.0,0.0,42,RaphRover/raph_robot,jazzy,
rosidl_core,ros2,,https://github.com/ros2/rosidl_core,31,2,4,0,,Apache-2.0,True,True,False,False,False,True,good first issue,10,21,2022-08-18T16:46:40Z,2,220,0,docs,Organization,31,16,2,CMake,0,11,11,0,1,29.74,2.43,0.49,0.23,0.09,0.05,0.47,0.89,0.0,43,ros2/rosidl_core,jazzy|kilted,
sdformat_urdf,ros,A urdf_parser_plugin using libsdformat to parse SDFormat XML into URDF structures,https://github.com/ros/sdformat_urdf,177,50,16,3,,,True,False,False,False,False,True,good first issue,10,43,2020-05-28T19:21:14Z,0,0,0,other,Organization,177,15,50,C++;CMake;Python,0,26,29,3,8,40.69,81.34,0.61,0.14,0.23,0.71,2.34,0.0,0.0,70,ros/sdformat_urdf,jazzy|kilted,
aandd_ekew_driver_py,TechMagicKK,,https://github.com/TechMagicKK/aandd_ekew_driver_py,39,0,0,2,,Apache-2.0,True,False,False,False,False,True,good first issue,3,26,2023-03-03T12:23:29Z,13,750,0,code,Organization,39,2,0,Python,0,2,2,2,1,0.86,0.77,0.72,0.08,0.0,0.0,3.15,0.0,0.0,36,TechMagicKK/aandd_ekew_driver_py,humble,
ackermann_msgs,ros-drivers,ROS messages for Ackermann steering,https://github.com/ros-drivers/ackermann_msgs,19,44,37,0,,BSD-3-Clause,True,False,False,False,False,False,,5,37,2012-02-11T02:35:54Z,6,61,0,config,Organization,19,7,44,CMake,0,2,8,0,15,160.29,126.43,0.24,0.06,0.24,0.28,0.36,0.0,0.0,156,ros-drivers/ackermann_msgs,humble|jazzy|kilted,
