metric,value
total_repos_in_dataset,810
repos_with_distro_mapping,810
unique_packages,2250
repos_single_package,523
repos_single_package_pct,64.6%
repos_multi_package,287
repos_multi_package_pct,35.4%
repos_in_1_distro,164
repos_in_2_distros,123
repos_in_3_distros,523
repos_in_multiple_distros,646
repos_in_multiple_distros_pct,79.8%
repos_humble_total,730
repos_humble_exclusive,138
repos_jazzy_total,664
repos_jazzy_exclusive,19
repos_kilted_total,585
repos_kilted_exclusive,7
