Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
fibar_lib,ros-event-camera,plain cmake package for event image reconstruction using FIBAR,https://github.com/ros-event-camera/fibar_lib,24,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,6,2025-11-03T18:23:40Z,13,1042,0,code,Organization,24,0,0,C++;CMake,0,2,2,0,0,0.04,,1.5,0.25,0.0,0.0,1.19,0.0,0.0,4,ros-event-camera/fibar_lib,humble|jazzy|kilted,created_recently_6mo
greenwave_monitor,NVIDIA-ISAAC-ROS,ROS 2 Topic Monitoring,https://github.com/NVIDIA-ISAAC-ROS/greenwave_monitor,4340,211,13,7,,Apache-2.0,True,False,False,False,False,True,good first issue,2,20,2025-09-24T03:17:27Z,37,4273,0,code,Organization,4340,2,211,Python;C++;Shell;CMake,4,18,21,3,3,2.77,54.55,3.33,0.33,2.17,35.17,3.73,0.0,0.0,6,NVIDIA-ISAAC-ROS/greenwave_monitor,humble|jazzy|kilted,created_recently_6mo
hitch-estimation-apriltag-array,li9i,Estimate the angle between a mobile base and its hitched trailer via April tag pose estimation,https://github.com/li9i/hitch-estimation-apriltag-array,1780,0,1,0,apriltag;hitch;ros2-humble,BSD-3-Clause,True,False,False,False,False,True,good first issue,1,8,2025-11-25T21:29:27Z,18,714,0,config,User,1780,0,0,Python;CMake,0,0,0,0,0,,,2.0,0.25,0.25,0.0,1.73,0.0,0.0,4,li9i/hitch-estimation-apriltag-array,humble|jazzy,created_recently_6mo
imu_calib,Nathan85001,ROS package for computing and applying IMU calibration parameters,https://github.com/Nathan85001/imu_calib,52,9,1,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,1,16,2015-11-07T00:46:00Z,6,373,0,code,User,52,0,9,C++;CMake,0,0,0,0,0,,,2.0,0.12,0.12,1.12,2.61,0.0,0.0,8,Nathan85001/imu_calib,humble,is_fork
marvelmind_ros2_msgs_release,MarvelmindRobotics,Marvelmind ROS2 messages,https://github.com/MarvelmindRobotics/marvelmind_ros2_msgs_release,23,0,1,0,,,True,False,False,False,False,True,good first issue,1,1,2022-07-10T21:18:56Z,1,2,0,docs,Organization,23,0,0,,0,0,0,0,0,,,0.02,0.02,0.02,0.0,0.05,0.0,0.0,44,MarvelmindRobotics/marvelmind_ros2_msgs_release,humble,no_programming_languages
mola_mapper_2d,MOLAorg,2D SLAM system for the MOLA framework,https://github.com/MOLAorg/mola_mapper_2d,93,4,0,0,,GPL-3.0,True,False,False,False,False,True,good first issue,1,6,2026-01-23T07:13:09Z,28,4581,0,code,Organization,93,0,4,C++;CMake;Shell,0,0,0,0,0,,,3.0,0.5,0.0,2.0,10.22,0.0,0.0,2,MOLAorg/mola_mapper_2d,humble,created_recently_6mo
libqi,ros-naoqi,"naoqi_libqi ROS package, fork of the libqi repository",https://github.com/ros-naoqi/libqi,13107,2,4,0,,,True,False,False,False,False,True,good first issue,20,7366,2009-10-13T21:41:34Z,0,0,0,other,Organization,13107,0,2,C++;CMake;Lua;Python;Shell;C;EmberScript,0,4,8,0,0,5.95,,144.43,1.84,0.08,0.04,2.6,0.0,0.0,51,ros-naoqi/libqi,humble|jazzy,is_fork
libqicore,ros-naoqi,"naoqi_libqicore ROS package, fork of the libqicore repository",https://github.com/ros-naoqi/libqicore,21285,2,3,0,,,True,False,False,False,False,True,good first issue,9,512,2012-09-25T14:52:57Z,1,1,0,config,Organization,21285,0,2,Python;C++;CMake,0,2,2,0,0,3.43,,10.04,0.61,0.06,0.04,2.65,0.0,0.0,51,ros-naoqi/libqicore,humble,is_fork
nerian_stereo_ros2,nerian-vision,"ROS 2 driver node for Scarlet, SceneScan and SP1 stereo vision sensors by Nerian Vision GmbH",https://github.com/nerian-vision/nerian_stereo_ros2,5681,2,1,0,,Other,True,False,False,False,False,True,good first issue,1,55,2021-03-31T10:41:19Z,5,1279,0,code,User,5681,0,2,C++;CMake;Python,0,1,1,0,0,0.0,,0.93,0.05,0.02,0.03,0.21,0.0,0.0,59,nerian-vision/nerian_stereo_ros2,humble,is_fork
nonpersistent_voxel_layer-release,SteveMacenski,Bloom Release Repository for the  nonpersistent_voxel_layer ,https://github.com/SteveMacenski/nonpersistent_voxel_layer-release,226,0,3,0,,,True,False,False,False,False,True,good first issue,1,76,2018-08-14T18:26:25Z,1,2,0,docs,User,226,1,0,,0,0,0,0,0,,,0.84,0.01,0.03,0.0,15.61,0.0,0.0,91,SteveMacenski/nonpersistent_voxel_layer-release,humble|jazzy,no_programming_languages
